symbol,tf,window,kind,filt,n,fwd,t
BTCUSDT,1w,2,bull,all,58,0.00863972972777329,0.863041417619896
BTCUSDT,1w,2,bull,fixed20,58,0.00863972972777329,0.863041417619896
BTCUSDT,1w,2,bull,adx_gt_med,4,0.027762346733467835,
BTCUSDT,1w,2,bear,all,58,-0.023600734666029546,-1.9425826448460066
BTCUSDT,1w,2,bear,fixed20,58,-0.023600734666029546,-1.9425826448460066
BTCUSDT,1w,2,bear,adx_gt_med,2,0.01169637978800403,
BTCUSDT,1w,3,bull,all,39,0.02316714477470634,1.8553440628024145
BTCUSDT,1w,3,bull,fixed20,39,0.02316714477470634,1.8553440628024145
BTCUSDT,1w,3,bull,adx_gt_med,2,0.05237082587703423,
BTCUSDT,1w,3,bear,all,38,-0.012272294161228027,-0.8912156443035864
BTCUSDT,1w,3,bear,fixed20,38,-0.012272294161228027,-0.8912156443035864
BTCUSDT,1w,3,bear,adx_gt_med,2,0.0047780939480767115,
BTCUSDT,1w,4,bull,all,37,0.0022885791452480937,0.20431471906747053
BTCUSDT,1w,4,bull,fixed20,34,-0.004170957775075153,-0.406024926175349
BTCUSDT,1w,4,bull,adx_gt_med,2,0.05237082587703423,
BTCUSDT,1w,4,bear,all,36,-0.009880308574551334,-0.6029243330220391
BTCUSDT,1w,4,bear,fixed20,33,-0.006462860538724021,-0.3837561173091141
BTCUSDT,1w,4,bear,adx_gt_med,2,0.13404423325732429,
BTCUSDT,1w,5,bull,all,35,-0.002273472262531584,-0.18175284880732132
BTCUSDT,1w,5,bull,fixed20,29,-0.010940204362388142,-0.8557271763914769
BTCUSDT,1w,5,bull,adx_gt_med,3,-0.023098154560011408,
BTCUSDT,1w,5,bear,all,34,-0.013196685722296564,-0.7392173483325757
BTCUSDT,1w,5,bear,fixed20,32,-0.01575638029523988,-0.8343904536576492
BTCUSDT,1w,5,bear,adx_gt_med,2,0.06403874910622681,
BTCUSDT,1w,6,bull,all,30,0.008963359936268603,0.9146541376370548
BTCUSDT,1w,6,bull,fixed20,26,0.009258566752342042,0.8273260544545651
BTCUSDT,1w,6,bull,adx_gt_med,3,0.0015980658825509586,
BTCUSDT,1w,6,bear,all,29,-0.01308947939526245,-0.5716696206802734
BTCUSDT,1w,6,bear,fixed20,26,-0.017008521846507172,-0.6694099180604935
BTCUSDT,1w,6,bear,adx_gt_med,3,0.02952824895111113,
BTCUSDT,1w,7,bull,all,25,0.001250038494392376,0.10452990310695369
BTCUSDT,1w,7,bull,fixed20,21,0.007193995176482052,0.5919714095257061
BTCUSDT,1w,7,bull,adx_gt_med,5,0.020858443159219232,1.6185117379233451
BTCUSDT,1w,7,bear,all,24,-0.024166192062194707,-0.9074936100559673
BTCUSDT,1w,7,bear,fixed20,20,-0.01594629059454194,-0.5487584808253668
BTCUSDT,1w,7,bear,adx_gt_med,3,0.02952824895111113,
BTCUSDT,1w,8,bull,all,23,-0.008636115367744952,-0.5286805325139858
BTCUSDT,1w,8,bull,fixed20,19,-0.003276438922425538,-0.17873817823157137
BTCUSDT,1w,8,bull,adx_gt_med,5,0.029699118588621242,1.7117654408287206
BTCUSDT,1w,8,bear,all,23,-0.022527135679076774,-0.7904943934892681
BTCUSDT,1w,8,bear,fixed20,19,-0.013529543316680612,-0.4293343050393862
BTCUSDT,1w,8,bear,adx_gt_med,3,0.02952824895111113,
BTCUSDT,1w,9,bull,all,19,-0.0002540656969741472,-0.020078009586026156
BTCUSDT,1w,9,bull,fixed20,16,-0.0007755809943454164,-0.05176985384361892
BTCUSDT,1w,9,bull,adx_gt_med,3,0.001278424889134951,
BTCUSDT,1w,9,bear,all,19,-0.04824496008775765,-1.5998197007612418
BTCUSDT,1w,9,bear,fixed20,15,-0.03420085226820257,-0.9922861210688271
BTCUSDT,1w,9,bear,adx_gt_med,2,-0.1268657308980498,
BTCUSDT,1w,10,bull,all,21,-0.0019522732057453353,-0.12025639323895294
BTCUSDT,1w,10,bull,fixed20,16,0.017216099892191562,0.9950086442215295
BTCUSDT,1w,10,bull,adx_gt_med,4,-0.012900319032277674,
BTCUSDT,1w,10,bear,all,21,-0.057646631879438734,-2.092609618358158
BTCUSDT,1w,10,bear,fixed20,16,-0.04087151565060701,-1.2414076703775427
BTCUSDT,1w,10,bear,adx_gt_med,2,-0.1268657308980498,
BTCUSDT,1w,12,bull,all,19,0.013779591372463785,0.7179126607063899
BTCUSDT,1w,12,bull,fixed20,12,0.007394630517277641,0.45366932588272146
BTCUSDT,1w,12,bull,adx_gt_med,4,0.007687079961337495,
BTCUSDT,1w,12,bear,all,19,-0.03605891173729706,-1.6810434568980903
BTCUSDT,1w,12,bear,fixed20,13,-0.00907400151732313,-0.40259687729369187
BTCUSDT,1w,12,bear,adx_gt_med,4,-0.06232940255931618,
BTCUSDT,1w,14,bull,all,17,0.010472674959889376,0.6077637276984926
BTCUSDT,1w,14,bull,fixed20,10,0.042134358176616114,2.558399435816155
BTCUSDT,1w,14,bull,adx_gt_med,3,0.02951877439048778,
BTCUSDT,1w,14,bear,all,17,-0.009145405657120978,-0.2967890817799085
