symbol,tf,window,side,n_events,n_spells,fwd,t_iid,t_cluster
BTCUSDT,1w,2,lo,48,29,-0.007839048137396066,-0.6014949808121395,-0.645601573788341
BTCUSDT,1w,2,hi,48,15,0.021550955460434812,1.9063646787044781,1.670354839642135
BTCUSDT,1w,2,hi_bull,41,10,0.020726959228071457,1.7420202200703057,1.4745552923346332
BTCUSDT,1w,2,hi_bear,7,5,0.02637721910713445,0.7227050647556358,0.7687151635312389
BTCUSDT,1w,3,lo,48,20,0.00570788710798541,0.4509421922328347,0.43612173931181797
BTCUSDT,1w,3,hi,47,9,0.02742505060905217,1.746248045132896,1.6268838974130289
BTCUSDT,1w,3,hi_bull,46,8,0.028194395165900856,1.7587346591105533,1.6503317009623775
BTCUSDT,1w,3,hi_bear,1,0,,,
BTCUSDT,1w,4,lo,47,16,-0.005865120095906496,-0.5327436568917729,-0.4893458579260856
BTCUSDT,1w,4,hi,47,7,0.040109772797518324,2.686554348521192,2.439427765988402
BTCUSDT,1w,4,hi_bull,47,7,0.040109772797518324,2.686554348521192,2.439427765988402
BTCUSDT,1w,4,hi_bear,0,0,,,
BTCUSDT,1w,5,lo,47,15,-0.014012264427238274,-1.1517812350485417,-1.2034739459793276
BTCUSDT,1w,5,hi,47,5,0.046226666298254025,3.0264305948853223,3.165874143589979
BTCUSDT,1w,5,hi_bull,47,5,0.046226666298254025,3.0264305948853223,3.165874143589979
BTCUSDT,1w,5,hi_bear,0,0,,,
BTCUSDT,1w,6,lo,47,11,-0.016597664218430237,-1.1835996754667588,-1.050517487110788
BTCUSDT,1w,6,hi,47,5,0.04202465553416383,2.690595054764303,3.4786559035511324
BTCUSDT,1w,6,hi_bull,47,5,0.04202465553416383,2.690595054764303,3.4786559035511324
BTCUSDT,1w,6,hi_bear,0,0,,,
BTCUSDT,1w,7,lo,47,9,-0.027499212884745123,-1.9142942672695937,-1.7940879798296008
BTCUSDT,1w,7,hi,47,4,0.03644082068186046,2.2658756730607914,3.739995420957642
BTCUSDT,1w,7,hi_bull,47,4,0.03644082068186046,2.2658756730607914,3.739995420957642
BTCUSDT,1w,7,hi_bear,0,0,,,
BTCUSDT,1w,8,lo,47,7,-0.02635576590352715,-2.1098593745869456,-2.064679362205586
BTCUSDT,1w,8,hi,47,4,0.042282363982715725,2.5775210991943136,4.381473303956541
