symbol,tf,window,rho_1st_half,rho_2nd_half
BTCUSDT,1d,2,0.029875568031229784,0.045154464677969554
BTCUSDT,1d,4,0.049457400746581455,0.02934235371163613
BTCUSDT,1d,7,0.03376255173103773,-0.004080760759432315
BTCUSDT,1d,14,0.030173821435206482,-0.008708113959521
BTCUSDT,1d,21,0.047763578971371685,0.004173153534334601
BTCUSDT,4h,2,0.0031087387437296614,0.012375072266124651
BTCUSDT,4h,4,0.011048371283201325,0.004879465989088233
BTCUSDT,4h,7,0.010473855463373066,0.006552298293451809
BTCUSDT,4h,14,0.01622987431472939,0.001181022426038376
BTCUSDT,4h,21,0.01820480336652892,-0.00045459470552539305
ETHUSDT,1d,2,0.00935597854244611,0.007644029803982402
ETHUSDT,1d,4,0.032170127768525174,0.021322570245860407
ETHUSDT,1d,7,0.025051197100641406,0.010131328776113762
ETHUSDT,1d,14,0.01028171716535401,-0.010860512362885445
ETHUSDT,1d,21,0.006224324544823828,-0.0028052073147173703
ETHUSDT,4h,2,0.007195889990201808,0.01054247689026286
ETHUSDT,4h,4,0.019185715491143715,0.003809851262259129
ETHUSDT,4h,7,0.008698620451626565,-0.0019968930487035217
ETHUSDT,4h,14,0.004191171098860981,0.0030771445766258946
ETHUSDT,4h,21,0.004164968237227158,0.007507513789910688
SOLUSDT,1d,2,0.007494969455207809,-0.0038122700241568024
SOLUSDT,1d,4,0.02560847174429842,-0.0182400239922682
SOLUSDT,1d,7,0.036196743408928374,-0.05877566975193993
SOLUSDT,1d,14,0.03744587094044379,-0.04057217427636171
SOLUSDT,1d,21,0.047982924955512825,-0.015041572911885192
SOLUSDT,4h,2,-0.0030274775096061717,0.008386429585423178
SOLUSDT,4h,4,-0.0010316259050626591,0.004030887298112016
SOLUSDT,4h,7,-0.00960744119153705,0.0024934997293758125
SOLUSDT,4h,14,-0.007064398831309398,-0.000574821454647363
SOLUSDT,4h,21,-0.0005718522098192928,-0.005681487670624922
