symbol,tf,window,side,n_events,n_spells,fwd,t_iid,t_cluster
BTCUSDT,1w,2,lo,48,26,0.001869340858391769,0.12226847621183977,0.15019408206740884
BTCUSDT,1w,2,hi,48,20,0.026149025589311398,1.5885877418129297,2.2752879591507775
BTCUSDT,1w,3,lo,48,21,-0.002000808968516704,-0.13151773058410857,-0.14430630740797912
BTCUSDT,1w,3,hi,48,17,0.03186876024162221,1.9312015993817948,2.3998853263219395
BTCUSDT,1w,4,lo,48,22,0.0010083173590963678,0.08293646821002583,0.08190561607380954
BTCUSDT,1w,4,hi,48,14,0.029452091690787375,1.8081829463581822,1.7433286854437404
BTCUSDT,1w,5,lo,47,20,0.0016687148077762137,0.13496508643630617,0.14743623023400693
BTCUSDT,1w,5,hi,47,13,0.030076363895806354,1.8094670466296376,1.7542949556954943
BTCUSDT,1w,6,lo,47,20,0.005497833301518417,0.43084038603193997,0.4237616817569129
BTCUSDT,1w,6,hi,47,13,0.03519966826427887,1.9519605386774899,2.4154584664304855
BTCUSDT,1w,7,lo,47,20,0.005129704510550284,0.4065687888416601,0.4019755942662995
BTCUSDT,1w,7,hi,47,11,0.03701699808567029,1.9903547697384745,2.576578549506409
BTCUSDT,1w,8,lo,47,15,0.007276527341011921,0.6596211567103054,0.6494127061293112
BTCUSDT,1w,8,hi,47,10,0.03917900205197688,2.1162535735083403,2.8677289063490603
BTCUSDT,1w,9,lo,47,14,0.0059825244388130245,0.5438140246602383,0.5870762335297832
BTCUSDT,1w,9,hi,47,9,0.045013331918643866,2.3683098179538944,3.5455011525717754
BTCUSDT,1w,10,lo,47,15,0.00739625239399594,0.6809797156082588,0.8245548022008459
BTCUSDT,1w,10,hi,47,10,0.04307779269393911,2.2685883253664434,3.5982700814985575
BTCUSDT,1w,12,lo,47,13,0.0036293452591305763,0.3485380921436319,0.5855583009471044
BTCUSDT,1w,12,hi,47,10,0.04817146884014317,2.5961607226101013,3.759702680214403
BTCUSDT,1w,14,lo,47,11,0.0028092644777338196,0.27281911921171254,0.531706247693879
BTCUSDT,1w,14,hi,47,10,0.04262582812278245,2.315506651264534,2.622897514621774
BTCUSDT,1w,16,lo,46,13,0.012386700715388874,1.1066759502545562,2.029761748203926
BTCUSDT,1w,16,hi,46,11,0.029263230745682784,1.6884328072429824,1.6073528151069363
BTCUSDT,1w,18,lo,46,14,0.014787113701289422,1.3775676783463664,2.2950183970800233
BTCUSDT,1w,18,hi,46,11,0.026537464828558094,1.6687672433331924,1.3791427302273496
BTCUSDT,1w,21,lo,46,8,0.007915316436685343,0.7074754539731202,1.1246105183987454
BTCUSDT,1w,21,hi,46,10,0.03237385708354531,2.1529361759480934,1.925284613129653
BTCUSDT,1w,25,lo,45,5,0.00034754834617314325,0.031365305056946326,0.1730033422271149
BTCUSDT,1w,25,hi,45,7,0.03123348822626347,1.979725360360792,2.1239121988056975
BTCUSDT,1w,30,lo,45,6,0.007504789410492318,0.6214470844283017,1.1912755152262076
BTCUSDT,1w,30,hi,45,5,0.03400534064495109,2.199226301700343,2.5074174873140334
BTCUSDT,1d,2,lo,332,197,0.0053810615776065844,2.2180915847694407,2.320927953765597
BTCUSDT,1d,2,hi,332,162,0.004813788803041611,2.2527161130615077,2.166218780833187
BTCUSDT,1d,3,lo,332,162,0.002186017695287938,0.8434162679086165,0.9306047886338705
BTCUSDT,1d,3,hi,332,143,0.005273711526927199,2.5214873820950277,2.4181434522253533
BTCUSDT,1d,4,lo,332,150,0.0012600716085982256,0.44231926959231094,0.5219103328794625
BTCUSDT,1d,4,hi,332,131,0.0056970901037010175,2.635362992357266,2.6846778065735815
BTCUSDT,1d,5,lo,332,132,0.0019185359173347417,0.685168623805487,0.7816929381691006
BTCUSDT,1d,5,hi,332,116,0.005867654063955892,2.6627055357137666,2.717481028926559
BTCUSDT,1d,6,lo,331,123,0.0016151775221110646,0.5761301784162101,0.6927264935700863
BTCUSDT,1d,6,hi,331,108,0.006409212509673369,2.8862017744691086,2.791744187124858
BTCUSDT,1d,7,lo,331,112,0.0007997657242280442,0.282041953065158,0.3593202586504404
BTCUSDT,1d,7,hi,331,89,0.007216101836978593,3.386856164088983,3.6101756679518644
BTCUSDT,1d,8,lo,331,102,0.0012226124012167847,0.42651710568003437,0.5700885520976493
BTCUSDT,1d,8,hi,331,86,0.007567850903193774,3.5642012710893414,3.839750978330239
BTCUSDT,1d,9,lo,331,96,0.0008075630158447601,0.2814572813628014,0.4006549021718426
BTCUSDT,1d,9,hi,331,78,0.007952784063164096,3.755713811549732,3.939331695606567
BTCUSDT,1d,10,lo,331,96,0.0014761422069143647,0.5098849625757782,0.6979158068145275
BTCUSDT,1d,10,hi,331,75,0.008500279106251007,3.939830164015681,4.6090776822814945
BTCUSDT,1d,12,lo,331,84,0.0009444667360474107,0.3278565170029974,0.39873633720094653
BTCUSDT,1d,12,hi,331,70,0.008088626203065186,3.7843359165199795,3.9701618066259345
BTCUSDT,1d,14,lo,331,83,0.0019035715511428364,0.6750986356414963,0.7942880023165841
BTCUSDT,1d,14,hi,331,69,0.006794092306481522,3.18976065170925,2.9701215256258395
BTCUSDT,1d,16,lo,330,79,0.002351394085837904,0.8295613219153768,0.9644006582669921
BTCUSDT,1d,16,hi,330,64,0.007119754912188849,3.3253205182121555,3.1647420970152864
BTCUSDT,1d,18,lo,330,72,0.0025649881811210715,0.9046732018944608,1.0121079940965156
BTCUSDT,1d,18,hi,330,60,0.006836366845689324,3.1776792832039353,2.937628132121955
BTCUSDT,1d,21,lo,330,71,0.0033214924901423444,1.1728089407355902,1.3867826392450848
BTCUSDT,1d,21,hi,330,54,0.006926919585277311,3.2012394415162517,3.2929612069151566
BTCUSDT,1d,25,lo,330,63,0.0038494422307291105,1.5117862908802424,1.5702930806965598
BTCUSDT,1d,25,hi,330,49,0.0069945275813967055,3.2157952520630535,3.2486410682715117
BTCUSDT,1d,30,lo,329,61,0.004249594056060743,1.7263935585456172,1.7055169540118142
BTCUSDT,1d,30,hi,329,42,0.007173821830739325,3.199688766449579,3.482798566465776
BTCUSDT,4h,2,lo,1988,1068,0.00015893192927671413,0.39423677377680966,0.3967932094468835
BTCUSDT,4h,2,hi,1987,1034,0.00062110053598882,1.90020238452317,1.8507345372295785
BTCUSDT,4h,3,lo,1988,956,-7.576660643946675e-05,-0.17334287786446637,-0.18005786234345914
BTCUSDT,4h,3,hi,1987,931,0.0007480486359118073,2.3075133021368197,2.3948992973936147
BTCUSDT,4h,4,lo,1988,855,-9.133455790155151e-05,-0.20512056147676846,-0.2154842780412089
BTCUSDT,4h,4,hi,1987,822,0.0008835110370418405,2.7086417077866987,2.747577256012946
BTCUSDT,4h,5,lo,1988,780,-0.00013469463861317935,-0.2977350612812856,-0.32965843312427034
BTCUSDT,4h,5,hi,1987,724,0.0010833787361425548,3.270662438041986,3.3685402316334145
BTCUSDT,4h,6,lo,1988,720,0.00010808171780577272,0.23646153939537942,0.2702647456767564
BTCUSDT,4h,6,hi,1987,674,0.001091693552093116,3.2384577888634394,3.4124725495558295
BTCUSDT,4h,7,lo,1988,651,-1.9199077545018062e-05,-0.04150902948573143,-0.04784965318284049
BTCUSDT,4h,7,hi,1987,631,0.0010471165453937665,3.10155542186097,3.377025077150804
BTCUSDT,4h,8,lo,1988,619,0.0001306457171408571,0.2818792253855661,0.3253173164900054
BTCUSDT,4h,8,hi,1987,585,0.0010487725639341068,3.07062359496979,3.37916737537245
BTCUSDT,4h,9,lo,1987,592,0.00018032022943908162,0.38474109336849105,0.4627415748218875
BTCUSDT,4h,9,hi,1986,550,0.001103341008865167,3.2373868550271165,3.4944612805090496
BTCUSDT,4h,10,lo,1987,556,6.399387986062291e-05,0.13659625720272323,0.16464884467937227
BTCUSDT,4h,10,hi,1986,510,0.0012199569884523013,3.51025470139854,3.9210517064587735
BTCUSDT,4h,12,lo,1987,506,-2.368248855569038e-05,-0.0498760273981296,-0.06539876586121612
BTCUSDT,4h,12,hi,1987,471,0.0010096701942542096,2.904465170815947,3.3169372029965163
BTCUSDT,4h,14,lo,1987,486,1.1689741734316072e-05,0.02423886795731505,0.03132728621256809
BTCUSDT,4h,14,hi,1987,424,0.0009415210606259689,2.674053358297408,3.0463753927938755
BTCUSDT,4h,16,lo,1987,456,-6.249039079627554e-05,-0.12909198915420883,-0.15490386180745125
BTCUSDT,4h,16,hi,1987,413,0.0008058340113180797,2.2828390384838837,2.590216598305345
BTCUSDT,4h,18,lo,1987,437,-3.85137785195826e-05,-0.07973113183815862,-0.09505114446461653
BTCUSDT,4h,18,hi,1987,394,0.0009581094633287521,2.7194953660807744,3.219071375590556
BTCUSDT,4h,21,lo,1986,400,-0.00022647402837309218,-0.4658415872812436,-0.5436627940496677
BTCUSDT,4h,21,hi,1986,375,0.0009011366910744059,2.5521275429283676,2.887562159087086
BTCUSDT,4h,25,lo,1986,372,-0.00013313239676492243,-0.2711586661820869,-0.32629777566909857
BTCUSDT,4h,25,hi,1986,338,0.0008631758641049551,2.4587935580177835,2.9180594925510435
BTCUSDT,4h,30,lo,1985,351,0.0003265162068338026,0.6590338518752218,0.7431058077575549
BTCUSDT,4h,30,hi,1985,296,0.0009076374782181736,2.5840574025900174,3.045849858486317
ETHUSDT,1w,2,lo,48,19,-0.017483029717516856,-0.9308018035566827,-1.2631002293423528
ETHUSDT,1w,2,hi,48,26,0.008443338615465222,0.42279118575130953,0.4362479435079571
ETHUSDT,1w,3,lo,48,20,-0.0008091613117511068,-0.0461492995564537,-0.05765522512160732
ETHUSDT,1w,3,hi,48,23,0.013496851226338738,0.6802785483171793,0.6869926626685336
