symbol,tf,window,rho_1st_half,rho_2nd_half
BTCUSDT,1d,2,-0.000990337727507952,-0.024918407086210063
BTCUSDT,1d,4,0.013479435922323943,-0.02383076213444069
BTCUSDT,1d,7,0.026870262383439668,-0.013512196207813703
BTCUSDT,1d,14,0.039256537435428895,-0.001377519731894587
BTCUSDT,1d,21,0.046704443285433224,0.0058968571389419345
BTCUSDT,4h,2,-0.051310273513336495,-0.050563506705950625
BTCUSDT,4h,4,-0.032733835679777674,-0.04108835941643782
BTCUSDT,4h,7,-0.016352967043196474,-0.030732197664415508
BTCUSDT,4h,14,0.0008537093779856102,-0.019627982028916538
BTCUSDT,4h,21,0.008744173098137006,-0.014634650899102864
ETHUSDT,1d,2,-0.020519276925283325,-0.03381117512611731
ETHUSDT,1d,4,-0.00017820561171407996,-0.029312796866740622
ETHUSDT,1d,7,0.018034644475153433,-0.019309250508454084
ETHUSDT,1d,14,0.029343569622735148,-0.003110256519288191
ETHUSDT,1d,21,0.038063900980048075,0.003875541222932093
ETHUSDT,4h,2,-0.03394202674209857,-0.03533270912116997
ETHUSDT,4h,4,-0.018332948279470906,-0.0345143456419003
ETHUSDT,4h,7,-0.004527981890239862,-0.02877208386791966
ETHUSDT,4h,14,0.00838526042594791,-0.02008479584722299
ETHUSDT,4h,21,0.014330053636985826,-0.015271988507582612
